Date,Close,Open,High,Low,Change,Volume
2021-01-29,12.75,11.45,12.9,11.45,0.45 (3.66 %),2974900
2021-01-28,12.3,12.3,12.6,12.3,-0.90 (-6.82 %),3918300
2021-01-27,13.2,13.65,13.95,12.95,-0.70 (-5.04 %),3889600
2021-01-26,13.9,14.4,14.6,13.5,-0.50 (-3.47 %),3268100
2021-01-25,14.4,14.3,14.95,14.05,0.10 (0.70 %),4122900
2021-01-22,14.3,14.4,14.7,14.2,-0.10 (-0.69 %),2529300
2021-01-21,14.4,14.25,14.65,13.8,0.20 (1.41 %),4159300
2021-01-20,14.2,14.2,14.3,13.3,-0.05 (-0.35 %),2957500
2021-01-19,14.25,15.2,15.2,14.05,-0.85 (-5.63 %),4019500
2021-01-18,15.1,14.3,15.2,14.25,0.85 (5.96 %),8532300
2021-01-15,14.25,14.3,14.4,14.1,0.00 (0.00 %),3520600
2021-01-14,14.25,14.2,14.3,14.05,0.00 (0.00 %),2783500
2021-01-13,14.25,14.5,14.55,14.2,-0.05 (-0.35 %),4556900
2021-01-12,14.3,14.25,14.35,14.1,0.05 (0.35 %),2730500
2021-01-11,14.25,14.5,14.6,14.15,-0.05 (-0.35 %),3402900
2021-01-08,14.3,14.2,14.6,14.05,0.25 (1.78 %),4944600
2021-01-07,14.05,14.05,14.1,13.9,0.00 (0.00 %),3261200
2021-01-06,14.05,14.15,14.25,13.95,-0.05 (-0.35 %),4556800
2021-01-05,14.1,14.1,14.25,13.9,0.00 (0.00 %),4650000
2021-01-04,14.1,14.1,14.35,13.85,0.10 (0.71 %),4685600
2020-12-31,14.0,13.9,14.1,13.8,0.00 (0.00 %),3098020
2020-12-30,14.0,14.0,14.45,13.85,0.30 (2.19 %),6807900
2020-12-29,13.7,13.6,13.85,13.45,-0.05 (-0.36 %),3998990
2020-12-28,13.75,13.8,14.0,13.5,-0.05 (-0.36 %),4808650
2020-12-25,13.8,13.3,13.8,13.0,0.45 (3.37 %),6396790
2020-12-24,13.35,13.85,13.9,12.85,-0.15 (-1.11 %),5646470
2020-12-23,13.5,13.95,14.0,13.45,0.15 (1.12 %),8077920
2020-12-22,13.35,12.7,13.35,12.5,0.85 (6.80 %),11486410
2020-12-21,12.5,12.45,12.55,12.35,0.15 (1.21 %),3666060
2020-12-18,12.35,12.4,12.45,12.3,-0.05 (-0.40 %),2559750
2020-12-17,12.4,12.6,12.6,12.35,-0.15 (-1.20 %),2880660
2020-12-16,12.55,12.6,12.65,12.45,0.05 (0.40 %),2696150
2020-12-15,12.5,12.4,12.8,12.3,0.10 (0.81 %),3461650
2020-12-14,12.4,12.6,12.7,12.4,-0.10 (-0.80 %),3012670
2020-12-11,12.5,12.45,12.5,12.25,0.00 (0.00 %),2914750
2020-12-10,12.5,12.7,12.7,12.5,-0.15 (-1.19 %),2978470
2020-12-09,12.65,12.8,12.8,12.6,-0.10 (-0.78 %),2682830
2020-12-08,12.75,12.35,12.9,12.3,0.45 (3.66 %),7750620
2020-12-07,12.3,12.3,12.4,12.25,0.00 (0.00 %),2636490
2020-12-04,12.3,12.3,12.45,12.2,0.00 (0.00 %),4199830
2020-12-03,12.3,12.25,12.35,12.15,0.10 (0.82 %),1967910
2020-12-02,12.2,12.15,12.5,12.0,0.05 (0.41 %),3375810
2020-12-01,12.15,11.7,12.15,11.55,0.25 (2.10 %),3673840
2020-11-30,11.9,12.15,12.15,11.9,-0.25 (-2.06 %),4263660
2020-11-27,12.15,12.25,12.3,12.15,-0.05 (-0.41 %),1835780
2020-11-26,12.2,12.15,12.3,12.1,0.05 (0.41 %),1576250
2020-11-25,12.15,12.35,12.4,12.1,-0.20 (-1.62 %),3090050
2020-11-24,12.35,12.15,12.45,12.0,0.20 (1.65 %),5713360
2020-11-23,12.15,12.15,12.3,12.15,-0.10 (-0.82 %),3660270
2020-11-20,12.25,12.3,12.4,12.25,-0.15 (-1.21 %),2927590
2020-11-19,12.4,12.3,12.5,12.3,0.00 (0.00 %),2503700
2020-11-18,12.4,12.55,12.6,12.3,-0.10 (-0.80 %),2826820
2020-11-17,12.5,12.4,12.5,12.2,0.10 (0.81 %),4297480
2020-11-16,12.4,12.7,12.75,12.4,-0.25 (-1.98 %),3243970
2020-11-13,12.65,12.65,12.9,12.5,0.00 (0.00 %),3024420
2020-11-12,12.65,12.4,12.65,12.05,0.30 (2.43 %),4432750
2020-11-11,12.35,12.6,12.7,12.3,-0.30 (-2.37 %),5160080
2020-11-10,12.65,13.05,13.05,12.55,-0.40 (-3.07 %),4210860
2020-11-09,13.05,12.6,13.15,12.6,0.55 (4.40 %),5227000
2020-11-06,12.5,12.55,12.6,12.3,0.00 (0.00 %),3319610
2020-11-05,12.5,12.5,12.9,12.45,-0.10 (-0.79 %),3196480
2020-11-04,12.6,12.6,12.65,12.4,0.00 (0.00 %),2308520
2020-11-03,12.6,12.8,12.9,12.4,-0.10 (-0.79 %),2554570
