Date,Close,Open,High,Low,Change,Volume
2021-04-12,4.84,4.55,4.84,4.53,6.84,4584800
2021-04-09,4.53,4.42,4.7,4.35,2.03,3393300
2021-04-08,4.44,4.6,4.6,4.27,-2.63,4371900
2021-04-07,4.56,4.57,4.64,4.38,4.11,4448800
2021-04-06,4.38,4.36,4.38,4.2,6.83,6907600
2021-04-05,4.1,3.88,4.1,3.82,6.77,5768900
2021-04-02,3.84,3.84,3.89,3.78,0.0,1721400
2021-04-01,3.84,3.78,3.86,3.74,1.32,1829500
2021-03-31,3.79,3.77,3.82,3.76,-0.26,1028200
2021-03-30,3.8,3.9,3.92,3.78,-1.55,1992100
2021-03-29,3.86,3.65,3.87,3.64,5.75,3866700
2021-03-26,3.65,3.64,3.66,3.5,0.0,1377200
2021-03-25,3.65,3.65,3.72,3.62,0.55,2022800
2021-03-24,3.63,3.77,3.77,3.6,-3.71,1415500
2021-03-23,3.77,3.8,3.81,3.73,1.62,1521100
2021-03-22,3.71,3.6,3.71,3.6,0.0,1882300
2021-03-19,3.71,3.81,3.81,3.69,-3.39,1780600
2021-03-18,3.84,3.9,3.9,3.8,-2.29,1980300
2021-03-17,3.93,3.94,3.94,3.88,-0.25,1770200
2021-03-16,3.88,3.82,3.93,3.8,1.57,3120300
2021-03-15,3.82,3.75,3.84,3.68,4.09,2286400
2021-03-12,3.67,3.71,3.73,3.67,-0.81,949500
2021-03-11,3.7,3.66,3.7,3.63,1.09,1214300
2021-03-10,3.66,3.7,3.74,3.65,-1.08,1230600
2021-03-09,3.7,3.65,3.74,3.6,1.37,1536300
2021-03-08,3.65,3.6,3.7,3.55,2.24,1611700
2021-03-05,3.57,3.5,3.6,3.46,0.85,899500
2021-03-04,3.54,3.8,3.8,3.5,-2.48,1941400
2021-03-03,3.63,3.4,3.63,3.4,6.76,2420000
2021-03-02,3.4,3.37,3.48,3.37,0.03 (0.89 %),971400
2021-03-01,3.37,3.4,3.4,3.33,0.03 (0.90 %),651400
2021-02-26,3.34,3.33,3.38,3.31,0.00 (0.00 %),542900
2021-02-25,3.34,3.38,3.38,3.31,0.01 (0.30 %),722300
2021-02-24,3.33,3.37,3.45,3.29,-0.03 (-0.89 %),1113500
2021-02-23,3.36,3.36,3.37,3.32,0.00 (0.00 %),842700
2021-02-22,3.36,3.35,3.4,3.33,-0.02 (-0.59 %),679700
2021-02-19,3.38,3.27,3.49,3.27,0.06 (1.81 %),1197700
2021-02-18,3.32,3.37,3.37,3.3,-0.02 (-0.60 %),774100
2021-02-17,3.34,3.25,3.35,3.24,0.10 (3.09 %),868900
2021-02-09,3.24,3.24,3.24,3.05,0.14 (4.52 %),545200
2021-02-08,3.1,3.1,3.22,3.06,-0.09 (-2.82 %),738300
2021-02-05,3.19,3.19,3.2,3.12,0.02 (0.63 %),544500
2021-02-04,3.17,3.24,3.24,3.16,-0.03 (-0.94 %),783300
2021-02-03,3.2,3.03,3.2,3.03,0.17 (5.61 %),761100
2021-02-02,3.03,2.9,3.05,2.9,0.02 (0.66 %),1195000
2021-02-01,3.01,3.11,3.13,2.95,-0.10 (-3.22 %),1434100
2021-01-29,3.11,2.97,3.19,2.97,-0.06 (-1.89 %),2031600
2021-01-28,3.17,3.2,3.26,3.17,-0.23 (-6.76 %),2038900
2021-01-27,3.4,3.55,3.64,3.4,-0.24 (-6.59 %),2744700
