Date,Close,Open,High,Low,Change,Volume
2021-04-19,54.9,54.5,56.0,53.8,2.04,555600
2021-04-16,53.8,55.7,55.8,53.6,-3.58,1122700
2021-04-15,55.8,57.5,57.7,55.4,-2.62,1106400
2021-04-14,57.3,57.9,57.9,56.9,-1.38,1125700
2021-04-13,58.1,59.0,59.1,58.0,-2.35,895700
2021-04-12,59.5,59.7,59.9,59.1,-0.34,384400
2021-04-09,59.7,59.8,60.4,59.7,0.0,360700
2021-04-08,59.7,60.3,60.4,59.5,-1.32,252000
2021-04-07,60.5,59.1,61.0,58.7,2.37,509700
2021-04-06,59.1,59.5,59.6,59.1,-0.84,380200
2021-04-05,59.6,60.8,60.8,59.3,-0.33,469000
2021-04-02,59.8,60.5,60.5,59.1,0.67,508300
2021-04-01,59.4,58.3,59.5,58.3,1.71,381400
2021-03-31,58.4,59.0,59.0,58.2,-1.02,498300
2021-03-30,59.0,59.0,59.4,58.8,0.17,353100
2021-03-29,58.9,58.4,59.0,57.6,1.73,609600
2021-03-26,57.9,58.0,58.5,55.8,-1.03,950500
2021-03-25,58.5,59.0,59.5,58.3,-0.85,555300
2021-03-24,59.0,60.9,61.3,58.5,-4.07,796000
2021-03-23,61.5,62.2,62.7,61.3,-1.13,624500
2021-03-22,62.2,63.0,63.5,62.1,-0.96,465200
2021-03-19,62.8,61.5,62.8,61.4,1.95,1118700
2021-03-18,61.6,61.8,62.2,61.6,0.16,721100
2021-03-17,61.5,61.2,62.0,61.2,0.49,370900
2021-03-16,61.4,61.7,62.0,61.0,-0.49,565300
2021-03-15,61.7,62.0,62.6,61.6,-0.48,670300
2021-03-12,62.0,62.9,62.9,62.0,-0.8,670300
2021-03-11,62.5,63.5,63.7,62.0,-0.48,721600
2021-03-10,62.8,60.7,63.0,60.7,2.11,1040000
2021-03-09,61.5,61.6,61.8,60.7,-0.97,808600
2021-03-08,62.1,62.9,63.5,61.7,-1.11,964400
2021-03-05,62.8,62.0,62.9,61.6,-1.26,863300
2021-03-04,63.6,63.1,63.6,61.1,0.0,908900
2021-03-03,63.6,63.2,64.4,63.2,0.63,1082500
2021-03-02,63.2,61.8,63.3,61.5,1.60 (2.60 %),2225100
2021-03-01,61.6,61.0,62.1,60.7,0.60 (0.98 %),717900
2021-02-26,61.0,60.0,61.1,60.0,0.00 (0.00 %),735100
2021-02-25,61.0,61.6,61.7,60.2,-0.50 (-0.81 %),949200
2021-02-24,61.5,62.2,62.6,60.6,-0.50 (-0.81 %),987200
2021-02-23,62.0,62.0,62.1,61.3,0.00 (0.00 %),921900
2021-02-22,62.0,61.8,62.4,61.0,0.50 (0.81 %),1197500
2021-02-19,61.5,61.0,61.9,60.9,-0.40 (-0.65 %),636500
2021-02-18,61.9,60.9,62.3,60.2,1.00 (1.64 %),1085400
2021-02-17,60.9,58.2,61.1,57.9,3.10 (5.36 %),788500
2021-02-09,57.8,57.8,57.9,56.0,0.40 (0.70 %),819300
2021-02-08,57.4,57.4,58.8,55.0,-1.20 (-2.05 %),821600
2021-02-05,58.6,58.5,59.4,58.0,0.10 (0.17 %),779800
2021-02-04,58.5,59.0,59.5,58.0,-0.20 (-0.34 %),1097100
2021-02-03,58.7,57.5,58.9,56.9,1.50 (2.62 %),862900
2021-02-02,57.2,54.9,57.8,54.9,0.90 (1.60 %),520000
2021-02-01,56.3,58.4,58.4,55.0,-2.10 (-3.60 %),858500
2021-01-29,58.4,54.4,58.4,54.4,0.00 (0.00 %),1783700
2021-01-28,58.4,58.4,59.4,58.4,-4.30 (-6.86 %),1530400
2021-01-27,62.7,61.0,63.1,59.6,-1.30 (-2.03 %),1409700
2021-01-26,64.0,65.3,65.3,60.9,-1.40 (-2.14 %),826200
2021-01-25,65.4,66.0,66.4,64.8,-0.50 (-0.76 %),894800
2021-01-22,65.9,67.0,67.5,65.4,-1.80 (-2.66 %),1161800
2021-01-21,67.7,67.4,67.8,65.5,0.30 (0.45 %),1225800
2021-01-20,67.4,67.5,68.0,63.0,-0.10 (-0.15 %),903900
2021-01-19,67.5,70.5,70.5,65.6,-3.00 (-4.26 %),1096500
2021-01-18,70.5,71.1,72.0,69.1,0.20 (0.28 %),1201000
2021-01-15,70.3,69.3,70.3,68.4,1.00 (1.44 %),1181600
2021-01-14,69.3,69.5,69.5,68.2,-0.20 (-0.29 %),762500
2021-01-13,69.5,69.5,69.8,68.3,-0.40 (-0.57 %),1114900
2021-01-12,69.9,70.0,70.4,69.0,2.20 (3.25 %),1408500
2021-01-11,67.7,66.2,68.0,66.2,2.20 (3.36 %),1669000
2021-01-08,65.5,64.4,66.3,64.4,1.10 (1.71 %),1720800
2021-01-07,64.4,65.2,65.2,64.1,-0.50 (-0.77 %),685800
2021-01-06,64.9,64.8,65.8,64.2,0.60 (0.93 %),878200
2021-01-05,64.3,63.5,64.9,63.2,0.70 (1.10 %),1671400
2021-01-04,63.6,63.0,64.0,63.0,0.60 (0.95 %),915300
2020-12-31,63.0,63.9,63.9,62.8,-0.90 (-1.41 %),625570
2020-12-30,63.9,63.9,64.0,63.3,-0.10 (-0.16 %),789950
2020-12-29,64.0,64.4,64.6,63.7,-0.40 (-0.62 %),812040
2020-12-28,64.4,64.2,65.0,63.2,0.00 (0.00 %),789540
2020-12-25,64.4,63.0,64.5,62.0,0.40 (0.63 %),782780
2020-12-24,64.0,64.6,65.0,61.8,-1.90 (-2.88 %),1039870
2020-12-23,65.9,67.0,67.0,63.8,-0.30 (-0.45 %),527470
2020-12-22,66.2,64.1,66.5,64.0,2.00 (3.12 %),1296050
2020-12-21,64.2,64.5,65.1,63.7,0.30 (0.47 %),932060
2020-12-18,63.9,63.0,64.1,62.8,1.00 (1.59 %),876460
2020-12-17,62.9,63.9,63.9,62.5,-1.00 (-1.56 %),828490
2020-12-16,63.9,64.2,64.8,63.7,0.00 (0.00 %),763090
2020-12-15,63.9,62.4,64.5,61.9,1.50 (2.40 %),1956140
2020-12-14,62.4,62.5,62.5,61.7,0.40 (0.65 %),520080
2020-12-11,62.0,60.6,62.2,60.3,1.50 (2.48 %),1117960
2020-12-10,60.5,62.3,62.5,60.5,-2.30 (-3.66 %),1729470
2020-12-09,62.8,63.5,63.5,62.4,-2.20 (-3.38 %),812700
2020-12-08,65.0,65.2,65.4,64.6,-0.40 (-0.61 %),796490
2020-12-07,65.4,65.4,66.0,65.0,0.10 (0.15 %),811830
2020-12-04,65.3,65.2,66.0,64.7,0.20 (0.31 %),925430
2020-12-03,65.1,64.2,66.0,64.0,1.20 (1.88 %),1252550
2020-12-02,63.9,63.5,64.4,63.5,0.40 (0.63 %),1097820
2020-12-01,63.5,62.9,64.5,62.5,0.10 (0.16 %),875900
2020-11-30,63.4,63.9,65.1,63.4,-0.10 (-0.16 %),851600
2020-11-27,63.5,63.0,63.7,62.5,0.90 (1.44 %),734100
2020-11-26,62.6,62.5,63.7,62.5,-0.40 (-0.63 %),748170
2020-11-25,63.0,63.0,65.4,63.0,-1.80 (-2.78 %),1180000
2020-11-24,64.8,65.4,65.4,60.5,-0.20 (-0.31 %),2178220
2020-11-23,65.0,64.9,65.5,64.6,0.40 (0.62 %),1484070
2020-11-20,64.6,64.0,65.1,63.9,0.70 (1.10 %),1183520
2020-11-19,63.9,63.3,64.0,62.9,0.70 (1.11 %),1275430
2020-11-18,63.2,62.5,64.2,62.4,0.70 (1.12 %),1379770
2020-11-17,62.5,61.2,62.8,61.2,1.40 (2.29 %),1219730
2020-11-16,61.1,62.1,62.4,61.0,-0.30 (-0.49 %),1470050
2020-11-13,61.4,61.3,62.2,60.8,0.10 (0.16 %),1329260
2020-11-12,61.3,62.5,62.5,61.0,-0.60 (-0.97 %),854720
2020-11-11,61.9,60.8,62.2,60.4,1.10 (1.81 %),1635830
2020-11-10,60.8,58.5,61.5,57.9,3.00 (5.19 %),3130900
2020-11-09,57.8,57.4,57.8,57.1,0.70 (1.23 %),841330
2020-11-06,57.1,56.8,57.3,56.4,0.30 (0.53 %),425240
2020-11-05,56.8,57.4,57.8,56.5,-1.20 (-2.07 %),640740
2020-11-04,58.0,57.5,58.2,57.0,0.90 (1.58 %),1103600
2020-11-03,57.1,56.6,57.3,55.9,0.80 (1.42 %),813470
2020-11-02,56.3,55.1,56.8,55.1,1.20 (2.18 %),546190
2020-10-30,55.1,55.3,55.5,54.6,0.30 (0.55 %),351170
2020-10-29,54.8,54.6,55.5,54.3,-0.40 (-0.72 %),638600
2020-10-28,55.2,56.5,57.0,55.1,-0.80 (-1.43 %),626470
2020-10-27,56.0,56.1,57.2,56.0,-0.50 (-0.88 %),657770
2020-10-26,56.5,55.7,57.4,55.7,1.00 (1.80 %),1545180
2020-10-23,55.5,55.1,55.7,54.8,0.80 (1.46 %),587880
2020-10-22,54.7,54.3,54.8,54.2,0.40 (0.74 %),361140
2020-10-21,54.3,54.6,55.6,54.3,-0.70 (-1.27 %),547030
2020-10-20,55.0,55.0,55.4,54.2,-0.30 (-0.54 %),905300
2020-10-19,55.3,55.8,56.1,55.0,0.00 (0.00 %),385320
2020-10-16,55.3,54.5,56.3,53.7,0.80 (1.47 %),933370
2020-10-15,54.5,55.6,55.8,54.0,-1.10 (-1.98 %),1906510
2020-10-14,55.6,56.4,56.8,55.6,-0.70 (-1.24 %),705660
2020-10-13,56.3,55.5,56.5,55.5,0.30 (0.54 %),762820
2020-10-12,56.0,57.2,57.4,55.7,-1.80 (-3.11 %),3054660
2020-10-09,57.8,58.5,58.5,57.6,-0.30 (-0.52 %),669920
2020-10-08,58.1,58.6,58.6,57.5,-0.50 (-0.85 %),676930
2020-10-07,58.6,58.7,59.0,58.3,-0.10 (-0.17 %),708270
2020-10-06,58.7,59.0,59.5,58.4,0.00 (0.00 %),906020
2020-10-05,58.7,57.7,59.0,57.7,0.90 (1.56 %),1078280
2020-10-02,57.8,58.3,58.5,56.7,-0.50 (-0.86 %),892530
2020-10-01,58.3,58.3,59.0,58.2,0.00 (0.00 %),656760
2020-09-30,58.3,56.7,59.1,56.6,1.50 (2.64 %),1767490
2020-09-29,56.8,58.0,58.2,56.6,-1.20 (-2.07 %),1495930
2020-09-28,58.0,58.3,58.3,57.5,-0.10 (-0.17 %),722690
2020-09-25,58.1,58.7,58.7,57.7,-0.40 (-0.68 %),672330
2020-09-24,58.5,58.4,59.0,58.0,0.00 (0.00 %),661940
2020-09-23,58.5,57.5,58.6,57.3,1.00 (1.74 %),954060
2020-09-22,57.5,57.1,58.3,57.0,0.00 (0.00 %),704290
2020-09-21,57.5,58.0,58.3,57.4,-0.40 (-0.69 %),1154580
2020-09-18,57.9,58.1,58.2,57.7,-0.10 (-0.17 %),577420
2020-09-17,58.0,58.6,58.9,57.5,-0.60 (-1.02 %),1039960
2020-09-16,58.6,59.2,59.4,58.6,-0.60 (-1.01 %),559130
2020-09-15,59.2,59.9,59.9,59.2,-0.20 (-0.34 %),817690
2020-09-14,59.4,58.5,59.5,58.3,0.90 (1.54 %),1321220
2020-09-11,58.5,58.4,58.9,58.2,0.00 (0.00 %),628720
2020-09-10,58.5,58.9,59.3,58.3,0.20 (0.34 %),1134500
2020-09-09,58.3,57.2,59.0,56.8,0.80 (1.39 %),1139550
2020-09-08,57.5,57.0,57.6,56.7,0.50 (0.88 %),597820
2020-09-07,57.0,58.0,58.6,57.0,-1.00 (-1.72 %),974090
2020-09-04,58.0,57.0,58.2,56.7,0.40 (0.69 %),1280320
2020-09-03,57.6,58.3,58.3,57.3,0.00 (0.00 %),980640
2020-09-01,57.6,56.4,57.7,56.3,1.10 (1.95 %),930280
2020-08-31,56.5,57.8,58.0,56.2,-1.50 (-2.59 %),2269640
2020-08-28,58.0,59.1,59.5,58.0,-0.90 (-1.53 %),1443570
2020-08-27,58.9,58.5,59.3,58.4,0.40 (0.68 %),716960
2020-08-26,58.5,58.1,59.9,57.7,0.40 (0.69 %),1718370
2020-08-25,58.1,58.7,59.0,58.0,-0.40 (-0.68 %),1152780
2020-08-24,58.5,59.0,59.0,58.0,-0.40 (-0.68 %),1930640
2020-08-21,58.9,57.4,59.2,57.4,1.30 (2.26 %),2241600
2020-08-20,57.6,57.3,58.3,56.7,0.30 (0.52 %),2485510
2020-08-19,57.3,54.1,57.3,54.1,3.20 (5.91 %),4381730
2020-08-18,54.1,54.2,54.3,53.8,0.10 (0.19 %),845550
2020-08-17,54.0,54.0,54.3,53.3,0.00 (0.00 %),746150
2020-08-14,54.0,53.8,55.0,53.6,0.30 (0.56 %),1835810
2020-08-13,53.7,53.7,54.0,53.2,0.10 (0.19 %),1022060
2020-08-12,53.6,53.7,53.9,53.1,-0.10 (-0.19 %),972130
2020-08-11,53.7,54.4,54.6,53.5,-0.30 (-0.56 %),1284760
2020-08-10,54.0,53.4,54.8,52.9,1.10 (2.08 %),2348110
2020-08-07,52.9,52.7,53.3,52.6,0.20 (0.38 %),944690
2020-08-06,52.7,53.0,53.2,52.3,-0.30 (-0.57 %),869730
2020-08-05,53.0,51.8,53.5,51.3,1.20 (2.32 %),1878560
2020-08-04,51.8,51.5,52.3,51.4,0.30 (0.58 %),825130
2020-08-03,51.5,50.0,51.6,50.0,1.50 (3.00 %),981510
2020-07-31,50.0,49.8,51.0,49.5,-0.50 (-0.99 %),1017640
2020-07-30,50.5,50.8,51.2,50.4,-0.20 (-0.39 %),911760
2020-07-29,50.7,50.2,50.7,48.0,-0.80 (-1.55 %),2593410
2020-07-28,51.5,50.4,51.7,49.6,2.45 (4.99 %),1368150
2020-07-27,49.05,52.1,52.3,49.05,-3.65 (-6.93 %),2669980
2020-07-24,52.7,54.8,55.4,51.0,-1.80 (-3.30 %),3233330
2020-07-23,54.5,54.2,54.7,53.4,0.20 (0.37 %),814140
2020-07-22,54.3,55.3,55.8,54.0,-0.50 (-0.91 %),1561650
2020-07-21,54.8,53.6,54.8,53.0,1.40 (2.62 %),1907660
2020-07-20,53.4,53.4,55.0,53.0,-0.30 (-0.56 %),1395410
2020-07-17,53.7,52.6,54.5,52.2,1.10 (2.09 %),2220270
2020-07-16,52.6,53.0,53.0,52.2,-0.10 (-0.19 %),391220
2020-07-15,52.7,53.0,53.4,52.6,-0.30 (-0.57 %),496050
2020-07-14,53.0,52.1,53.0,51.9,0.80 (1.53 %),587370
2020-07-13,52.2,52.9,53.0,51.9,-0.70 (-1.32 %),907450
2020-07-10,52.9,53.5,53.5,52.1,-0.80 (-1.49 %),1339580
2020-07-09,53.7,54.5,54.5,53.5,-0.30 (-0.56 %),1252690
2020-07-08,54.0,53.0,54.0,52.5,1.00 (1.89 %),1123750
2020-07-07,53.0,53.3,54.5,52.8,0.30 (0.57 %),1455000
2020-07-06,52.7,52.7,53.2,52.6,0.10 (0.19 %),583920
2020-07-03,52.6,53.0,53.7,52.6,-0.10 (-0.19 %),889420
