Stock,B,S,G,BB,BS,BG
HHG,69.0,38.0,31.0,0.0,0.0,0.0
HHS,512.0,462.0,50.0,0.0,0.0,0.0
HID,97.0,58.0,39.0,0.0,0.0,0.0
HII,35.0,26.0,9.0,0.0,0.0,0.0
HLD,8.0,12.0,-4.0,0.0,0.0,0.0
HND,50.0,25.0,25.0,0.0,0.0,0.0
HNG,1287.0,1677.0,-390.0,1.0,5.0,-4.0
HOM,36.0,28.0,8.0,0.0,0.0,0.0
HPG,6990.0,7116.0,-126.0,133.0,89.0,44.0
HPX,39.0,42.0,-3.0,3.0,4.0,-1.0
HQC,1003.0,1626.0,-623.0,1.0,1.0,0.0
HSG,2934.0,1206.0,1728.0,49.0,17.0,32.0
HSL,12.0,15.0,-3.0,0.0,0.0,0.0
HT1,135.0,155.0,-20.0,0.0,0.0,0.0
HTI,36.0,39.0,-3.0,0.0,0.0,0.0
HTN,112.0,67.0,45.0,0.0,0.0,0.0
HUT,482.0,711.0,-229.0,4.0,4.0,0.0
HVH,33.0,57.0,-24.0,0.0,0.0,0.0
HVN,297.0,401.0,-104.0,0.0,0.0,0.0
IBC,21.0,51.0,-30.0,0.0,0.0,0.0
ICT,27.0,30.0,-3.0,0.0,0.0,0.0
IDC,1018.0,562.0,456.0,3.0,14.0,-11.0
IDI,224.0,268.0,-44.0,0.0,0.0,0.0
IDJ,63.0,157.0,-94.0,0.0,0.0,0.0
IJC,1286.0,977.0,309.0,26.0,30.0,-4.0
ILB,83.0,27.0,56.0,0.0,0.0,0.0
ITA,943.0,1628.0,-685.0,0.0,0.0,0.0
ITD,17.0,15.0,2.0,0.0,0.0,0.0
ITQ,58.0,57.0,1.0,0.0,0.0,0.0
JVC,486.0,294.0,192.0,0.0,0.0,0.0
KBC,2618.0,1065.0,1553.0,31.0,8.0,23.0
KDC,158.0,162.0,-4.0,2.0,11.0,-9.0
KDH,934.0,1536.0,-602.0,0.0,9.0,-9.0
KHP,13.0,26.0,-13.0,0.0,0.0,0.0
KLB,64.0,100.0,-36.0,0.0,0.0,0.0
KLF,1130.0,508.0,622.0,0.0,2.0,-2.0
KMR,361.0,257.0,104.0,0.0,0.0,0.0
KOS,40.0,30.0,10.0,0.0,0.0,0.0
KSB,889.0,517.0,372.0,4.0,2.0,2.0
KSH,363.0,196.0,167.0,0.0,0.0,0.0
KVC,95.0,83.0,12.0,0.0,0.0,0.0
L14,61.0,50.0,11.0,0.0,0.0,0.0
LAS,109.0,161.0,-52.0,0.0,0.0,0.0
LCG,603.0,549.0,54.0,1.0,0.0,1.0
LDG,493.0,741.0,-248.0,0.0,0.0,0.0
LHG,46.0,168.0,-122.0,0.0,0.0,0.0
LIG,56.0,64.0,-8.0,0.0,0.0,0.0
LIX,6.0,44.0,-38.0,0.0,0.0,0.0
LPB,2447.0,2881.0,-434.0,15.0,22.0,-7.0
LSS,107.0,213.0,-106.0,0.0,0.0,0.0
LTG,185.0,141.0,44.0,1.0,0.0,1.0
MBB,5776.0,4533.0,1243.0,147.0,77.0,70.0
MBG,168.0,182.0,-14.0,0.0,0.0,0.0
MBS,730.0,887.0,-157.0,1.0,3.0,-2.0
MFS,26.0,22.0,4.0,0.0,0.0,0.0
MHC,202.0,103.0,99.0,1.0,0.0,1.0
MPC,188.0,152.0,36.0,0.0,0.0,0.0
MPT,272.0,284.0,-12.0,0.0,0.0,0.0
MSH,48.0,100.0,-52.0,0.0,0.0,0.0
MSN,659.0,976.0,-317.0,11.0,7.0,4.0
MSR,308.0,229.0,79.0,0.0,2.0,-2.0
MST,93.0,49.0,44.0,0.0,0.0,0.0
MTA,38.0,5.0,33.0,0.0,0.0,0.0
MWG,273.0,530.0,-257.0,1.0,2.0,-1.0
NAF,86.0,70.0,16.0,1.0,0.0,1.0
NCT,31.0,17.0,14.0,0.0,0.0,0.0
NDN,259.0,211.0,48.0,0.0,4.0,-4.0
NHH,49.0,48.0,1.0,0.0,1.0,-1.0
NKG,916.0,669.0,247.0,6.0,3.0,3.0
NLG,810.0,1654.0,-844.0,1.0,3.0,-2.0
